year,month,day,count
2013,1,1,838
2013,1,2,935
2013,1,3,904
2013,1,4,909
2013,1,5,717
2013,1,6,831
2013,1,7,930
2013,1,8,895
2013,1,9,897
2013,1,10,929
2013,1,11,919
2013,1,12,684
2013,1,13,812
2013,1,14,926
2013,1,15,881
2013,1,16,855
2013,1,17,918
2013,1,18,914
2013,1,19,673
2013,1,20,782
2013,1,21,904
2013,1,22,885
2013,1,23,888
2013,1,24,911
2013,1,25,887
2013,1,26,671
2013,1,27,807
2013,1,28,859
2013,1,29,877
2013,1,30,802
2013,1,31,843
2013,2,1,911
2013,2,2,680
2013,2,3,795
2013,2,4,922
2013,2,5,880
2013,2,6,893
2013,2,7,928
2013,2,8,458
2013,2,9,291
2013,2,10,803
2013,2,11,856
2013,2,12,887
2013,2,13,905
2013,2,14,952
2013,2,15,948
2013,2,16,737
2013,2,17,832
2013,2,18,945
2013,2,19,928
2013,2,20,936
2013,2,21,939
2013,2,22,940
2013,2,23,740
2013,2,24,871
2013,2,25,948
2013,2,26,907
2013,2,27,904
2013,2,28,954
2013,3,1,944
2013,3,2,754
2013,3,3,910
2013,3,4,959
2013,3,5,936
2013,3,6,792
2013,3,7,882
2013,3,8,799
2013,3,9,756
2013,3,10,903
2013,3,11,977
2013,3,12,906
2013,3,13,966
2013,3,14,981
2013,3,15,971
2013,3,16,765
2013,3,17,898
2013,3,18,941
2013,3,19,929
2013,3,20,957
2013,3,21,973
2013,3,22,973
2013,3,23,764
2013,3,24,893
2013,3,25,892
2013,3,26,967
2013,3,27,975
2013,3,28,978
2013,3,29,970
2013,3,30,768
2013,3,31,894
2013,4,1,961
2013,4,2,980
2013,4,3,990
2013,4,4,980
2013,4,5,980
2013,4,6,768
2013,4,7,908
2013,4,8,971
2013,4,9,960
2013,4,10,887
2013,4,11,954
2013,4,12,916
2013,4,13,767
2013,4,14,912
2013,4,15,990
2013,4,16,926
2013,4,17,955
2013,4,18,957
2013,4,19,884
2013,4,20,755
2013,4,21,919
2013,4,22,940
2013,4,23,924
2013,4,24,934
2013,4,25,963
2013,4,26,979
2013,4,27,755
2013,4,28,911
2013,4,29,978
2013,4,30,958
2013,5,1,963
2013,5,2,978
2013,5,3,964
2013,5,4,740
2013,5,5,911
2013,5,6,977
2013,5,7,952
2013,5,8,900
2013,5,9,966
2013,5,10,970
2013,5,11,703
2013,5,12,891
2013,5,13,973
2013,5,14,948
2013,5,15,950
2013,5,16,981
2013,5,17,980
2013,5,18,748
2013,5,19,903
2013,5,20,973
2013,5,21,950
2013,5,22,924
2013,5,23,767
2013,5,24,948
2013,5,25,727
2013,5,26,729
2013,5,27,927
2013,5,28,970
2013,5,29,969
2013,5,30,981
2013,5,31,970
2013,6,1,753
2013,6,2,823
2013,6,3,959
2013,6,4,956
2013,6,5,965
2013,6,6,969
2013,6,7,924
2013,6,8,772
2013,6,9,906
2013,6,10,946
2013,6,11,963
2013,6,12,966
2013,6,13,894
2013,6,14,968
2013,6,15,795
2013,6,16,917
2013,6,17,980
2013,6,18,914
2013,6,19,976
2013,6,20,990
2013,6,21,989
2013,6,22,808
2013,6,23,920
2013,6,24,883
2013,6,25,952
2013,6,26,953
2013,6,27,901
2013,6,28,871
2013,6,29,792
2013,6,30,829
2013,7,1,881
2013,7,2,926
2013,7,3,973
2013,7,4,734
2013,7,5,819
2013,7,6,791
2013,7,7,894
2013,7,8,954
2013,7,9,974
2013,7,10,883
2013,7,11,937
2013,7,12,988
2013,7,13,800
2013,7,14,925
2013,7,15,994
2013,7,16,989
2013,7,17,990
2013,7,18,978
2013,7,19,984
2013,7,20,792
2013,7,21,909
2013,7,22,877
2013,7,23,902
2013,7,24,985
2013,7,25,982
2013,7,26,989
2013,7,27,806
2013,7,28,866
2013,7,29,979
2013,7,30,987
2013,7,31,997
2013,8,1,932
2013,8,2,979
2013,8,3,799
2013,8,4,922
2013,8,5,998
2013,8,6,990
2013,8,7,995
2013,8,8,943
2013,8,9,938
2013,8,10,804
2013,8,11,926
2013,8,12,993
2013,8,13,939
2013,8,14,993
2013,8,15,995
2013,8,16,991
2013,8,17,777
2013,8,18,906
2013,8,19,990
2013,8,20,984
2013,8,21,984
2013,8,22,951
2013,8,23,984
2013,8,24,772
2013,8,25,900
2013,8,26,976
2013,8,27,958
2013,8,28,911
2013,8,29,976
2013,8,30,959
2013,8,31,676
2013,9,1,717
2013,9,2,846
2013,9,3,946
2013,9,4,943
2013,9,5,967
2013,9,6,965
2013,9,7,687
2013,9,8,903
2013,9,9,989
2013,9,10,960
2013,9,11,921
2013,9,12,800
2013,9,13,974
2013,9,14,684
2013,9,15,892
2013,9,16,986
2013,9,17,958
2013,9,18,971
2013,9,19,974
2013,9,20,981
2013,9,21,690
2013,9,22,901
2013,9,23,987
2013,9,24,952
2013,9,25,966
2013,9,26,993
2013,9,27,992
2013,9,28,679
2013,9,29,911
2013,9,30,987
2013,10,1,960
2013,10,2,974
2013,10,3,992
2013,10,4,989
2013,10,5,687
2013,10,6,914
2013,10,7,927
2013,10,8,960
2013,10,9,967
2013,10,10,976
2013,10,11,936
2013,10,12,674
2013,10,13,899
2013,10,14,985
2013,10,15,957
2013,10,16,970
2013,10,17,991
2013,10,18,992
2013,10,19,682
2013,10,20,915
2013,10,21,988
2013,10,22,961
2013,10,23,971
2013,10,24,988
2013,10,25,985
2013,10,26,682
2013,10,27,907
2013,10,28,979
2013,10,29,959
2013,10,30,969
2013,10,31,917
2013,11,1,949
2013,11,2,682
2013,11,3,900
2013,11,4,973
2013,11,5,961
2013,11,6,966
2013,11,7,967
2013,11,8,980
2013,11,9,714
2013,11,10,892
2013,11,11,980
2013,11,12,964
2013,11,13,975
2013,11,14,986
2013,11,15,983
2013,11,16,711
2013,11,17,876
2013,11,18,964
2013,11,19,968
2013,11,20,976
2013,11,21,997
2013,11,22,993
2013,11,23,741
2013,11,24,886
2013,11,25,937
2013,11,26,986
2013,11,27,979
2013,11,28,634
2013,11,29,661
2013,11,30,854
2013,12,1,981
2013,12,2,1001
2013,12,3,970
2013,12,4,950
2013,12,5,811
2013,12,6,907
2013,12,7,673
2013,12,8,815
2013,12,9,906
2013,12,10,739
2013,12,11,944
2013,12,12,963
2013,12,13,965
2013,12,14,567
2013,12,15,819
2013,12,16,958
2013,12,17,839
2013,12,18,953
2013,12,19,970
2013,12,20,969
2013,12,21,803
2013,12,22,888
2013,12,23,964
2013,12,24,752
2013,12,25,715
2013,12,26,930
2013,12,27,962
2013,12,28,813
2013,12,29,869
2013,12,30,954
2013,12,31,760
